Credit_amount,Employment,Installment_commitment,Personal_status,Age,Existing_credits,Job,Own_telephone,Class
7408.0,<1,4.0,female div/dep/mar,24.0,1,high qualif/self emp/mgmt,0,0
11590.0,1<=X<4,2.0,female div/dep/mar,24.0,2,unskilled resident,0,0
4110.0,>=7,3.0,male single,23.0,2,skilled,0,0
3384.0,1<=X<4,1.0,male div/sep,44.0,1,high qualif/self emp/mgmt,1,0
2101.0,<1,2.0,female div/dep/mar,23.0,1,unskilled resident,0,1
1275.0,1<=X<4,4.0,female div/dep/mar,24.0,1,skilled,0,0
4169.0,1<=X<4,4.0,male single,28.0,1,skilled,0,1
1521.0,1<=X<4,4.0,male div/sep,31.0,1,unskilled resident,0,1
5743.0,<1,2.0,female div/dep/mar,24.0,2,skilled,1,1
3599.0,4<=X<7,1.0,female div/dep/mar,26.0,1,unskilled resident,0,1
3213.0,<1,1.0,male mar/wid,25.0,1,skilled,0,1
4439.0,>=7,1.0,male single,33.0,1,high qualif/self emp/mgmt,1,1
3949.0,<1,1.0,male single,37.0,1,unskilled resident,0,1
1459.0,1<=X<4,4.0,female div/dep/mar,43.0,1,unskilled resident,0,1
882.0,<1,4.0,male single,23.0,2,skilled,0,1
3758.0,unemployed,1.0,female div/dep/mar,23.0,1,unemp/unskilled non res,0,1
1743.0,1<=X<4,1.0,male single,34.0,2,unskilled resident,0,1
1136.0,>=7,4.0,male single,32.0,2,skilled,0,0
1236.0,<1,1.0,female div/dep/mar,23.0,1,skilled,1,1
959.0,1<=X<4,1.0,female div/dep/mar,29.0,1,skilled,0,0
3229.0,unemployed,2.0,male single,38.0,1,high qualif/self emp/mgmt,1,1
6199.0,1<=X<4,4.0,male single,28.0,2,skilled,1,0
727.0,>=7,4.0,male single,46.0,1,skilled,1,1
1246.0,<1,4.0,male single,23.0,1,unskilled resident,0,0
2331.0,>=7,1.0,male single,49.0,1,skilled,1,1
4463.0,1<=X<4,4.0,male single,26.0,2,high qualif/self emp/mgmt,1,0
776.0,1<=X<4,4.0,male mar/wid,28.0,1,skilled,0,1
2406.0,4<=X<7,4.0,female div/dep/mar,23.0,1,skilled,0,0
1239.0,1<=X<4,4.0,male single,61.0,1,skilled,0,1
3399.0,>=7,2.0,male single,37.0,1,high qualif/self emp/mgmt,0,1
2247.0,1<=X<4,2.0,female div/dep/mar,36.0,2,skilled,1,1
1766.0,1<=X<4,1.0,male mar/wid,21.0,1,skilled,0,1
2473.0,unemployed,4.0,male single,25.0,1,unemp/unskilled non res,0,0
1542.0,4<=X<7,2.0,male single,36.0,1,skilled,1,1
3850.0,4<=X<7,3.0,male single,27.0,2,skilled,0,1
3650.0,<1,1.0,female div/dep/mar,22.0,1,skilled,0,1
3446.0,>=7,4.0,male single,42.0,1,skilled,0,0
3001.0,4<=X<7,2.0,female div/dep/mar,40.0,1,skilled,0,1
3079.0,1<=X<4,4.0,male single,36.0,1,skilled,0,1
6070.0,>=7,3.0,male single,33.0,2,skilled,1,1
2146.0,<1,1.0,female div/dep/mar,23.0,2,skilled,0,1
13756.0,>=7,2.0,male single,63.0,1,high qualif/self emp/mgmt,1,1
14782.0,>=7,3.0,female div/dep/mar,60.0,2,high qualif/self emp/mgmt,1,0
7685.0,4<=X<7,2.0,female div/dep/mar,37.0,1,skilled,0,0
2320.0,unemployed,2.0,male mar/wid,34.0,2,skilled,0,1
846.0,>=7,3.0,male single,36.0,1,skilled,0,1
14318.0,>=7,4.0,male single,57.0,1,high qualif/self emp/mgmt,1,0
362.0,1<=X<4,4.0,female div/dep/mar,52.0,2,unskilled resident,0,1
2212.0,4<=X<7,4.0,male single,39.0,1,skilled,1,1
12976.0,unemployed,3.0,female div/dep/mar,38.0,1,high qualif/self emp/mgmt,1,0
1283.0,4<=X<7,4.0,female div/dep/mar,25.0,1,skilled,0,1
1330.0,<1,4.0,male single,26.0,1,skilled,0,1
4272.0,1<=X<4,2.0,male single,26.0,2,unskilled resident,0,1
2238.0,1<=X<4,2.0,female div/dep/mar,25.0,2,skilled,0,1
1126.0,<1,4.0,female div/dep/mar,21.0,1,skilled,1,1
7374.0,unemployed,4.0,male single,40.0,2,high qualif/self emp/mgmt,1,1
2326.0,1<=X<4,2.0,male single,27.0,1,skilled,0,1
1449.0,4<=X<7,3.0,female div/dep/mar,27.0,2,skilled,0,1
1820.0,1<=X<4,2.0,male mar/wid,30.0,1,high qualif/self emp/mgmt,1,1
983.0,<1,1.0,female div/dep/mar,19.0,1,unskilled resident,0,1
3249.0,4<=X<7,2.0,male single,39.0,1,high qualif/self emp/mgmt,1,1
1957.0,4<=X<7,1.0,female div/dep/mar,31.0,1,skilled,0,1
2406.0,unemployed,2.0,male single,31.0,1,high qualif/self emp/mgmt,0,1
11760.0,4<=X<7,2.0,male single,32.0,1,skilled,1,1
2578.0,unemployed,3.0,female div/dep/mar,55.0,1,high qualif/self emp/mgmt,0,1
2348.0,1<=X<4,3.0,male mar/wid,46.0,2,skilled,1,1
1223.0,>=7,1.0,male div/sep,46.0,2,skilled,0,0
1516.0,1<=X<4,4.0,female div/dep/mar,43.0,2,unskilled resident,0,1
1473.0,<1,3.0,male mar/wid,39.0,1,skilled,1,1
1887.0,1<=X<4,4.0,male mar/wid,28.0,2,skilled,0,1
8648.0,<1,2.0,male single,27.0,2,skilled,1,0
802.0,1<=X<4,4.0,male single,27.0,2,unskilled resident,0,1
2899.0,>=7,4.0,male single,43.0,1,skilled,0,1
2039.0,<1,1.0,male mar/wid,22.0,1,skilled,1,0
2197.0,4<=X<7,4.0,male single,43.0,2,skilled,1,1
1053.0,<1,4.0,male mar/wid,27.0,1,skilled,0,1
3235.0,>=7,3.0,male div/sep,26.0,1,high qualif/self emp/mgmt,1,1
939.0,4<=X<7,4.0,male mar/wid,28.0,3,skilled,1,0
1967.0,>=7,4.0,female div/dep/mar,20.0,1,skilled,1,1
7253.0,4<=X<7,3.0,male single,35.0,2,high qualif/self emp/mgmt,1,1
2292.0,unemployed,4.0,male single,42.0,2,high qualif/self emp/mgmt,1,0
1597.0,1<=X<4,3.0,male single,40.0,1,unskilled resident,0,1
1381.0,1<=X<4,4.0,female div/dep/mar,35.0,1,skilled,0,0
5842.0,>=7,2.0,male single,35.0,2,skilled,1,1
2579.0,<1,4.0,male single,33.0,1,unskilled resident,0,0
8471.0,1<=X<4,1.0,female div/dep/mar,23.0,2,skilled,1,1
2782.0,4<=X<7,1.0,female div/dep/mar,31.0,1,high qualif/self emp/mgmt,0,1
1042.0,1<=X<4,4.0,female div/dep/mar,33.0,1,skilled,0,0
3186.0,4<=X<7,2.0,female div/dep/mar,20.0,1,skilled,0,1
2028.0,1<=X<4,4.0,male single,30.0,1,skilled,0,1
958.0,4<=X<7,2.0,male single,47.0,2,unskilled resident,0,1
1591.0,4<=X<7,4.0,male single,34.0,2,high qualif/self emp/mgmt,0,1
2762.0,>=7,1.0,female div/dep/mar,25.0,1,skilled,1,0
2779.0,1<=X<4,1.0,male mar/wid,21.0,1,skilled,1,1
2743.0,>=7,4.0,male single,29.0,2,skilled,0,1
1149.0,1<=X<4,4.0,male single,46.0,2,skilled,0,1
1313.0,>=7,1.0,male single,20.0,1,skilled,0,1
1190.0,unemployed,2.0,female div/dep/mar,55.0,3,unemp/unskilled non res,0,0
3448.0,4<=X<7,1.0,male single,74.0,1,unskilled resident,0,1
11328.0,1<=X<4,2.0,male single,29.0,2,high qualif/self emp/mgmt,1,0
1872.0,unemployed,4.0,male single,36.0,3,high qualif/self emp/mgmt,1,1
2058.0,1<=X<4,4.0,male div/sep,33.0,2,skilled,1,1
2136.0,1<=X<4,3.0,male single,25.0,1,skilled,0,1
1484.0,1<=X<4,2.0,male mar/wid,25.0,1,skilled,1,0
660.0,4<=X<7,2.0,male mar/wid,23.0,1,unskilled resident,0,1
1287.0,>=7,4.0,female div/dep/mar,37.0,2,skilled,1,1
3394.0,unemployed,4.0,male single,65.0,2,unemp/unskilled non res,0,1
609.0,<1,4.0,female div/dep/mar,26.0,1,unemp/unskilled non res,0,0
1884.0,>=7,4.0,male single,39.0,1,high qualif/self emp/mgmt,1,1
1620.0,1<=X<4,2.0,female div/dep/mar,30.0,1,skilled,0,1
2629.0,1<=X<4,2.0,male single,29.0,2,skilled,1,1
719.0,>=7,4.0,male single,41.0,1,unskilled resident,0,0
5096.0,1<=X<4,2.0,female div/dep/mar,30.0,1,high qualif/self emp/mgmt,1,0
1244.0,>=7,4.0,female div/dep/mar,41.0,2,unskilled resident,0,1
1842.0,<1,4.0,female div/dep/mar,34.0,1,skilled,1,0
2576.0,1<=X<4,2.0,male single,35.0,1,skilled,0,1
1424.0,>=7,3.0,female div/dep/mar,55.0,1,high qualif/self emp/mgmt,1,1
1512.0,1<=X<4,3.0,male mar/wid,61.0,2,skilled,0,0
11054.0,1<=X<4,4.0,male single,30.0,1,high qualif/self emp/mgmt,1,1
518.0,1<=X<4,3.0,female div/dep/mar,29.0,1,skilled,0,1
2759.0,>=7,2.0,male single,34.0,2,skilled,0,1
2670.0,>=7,4.0,male single,35.0,1,high qualif/self emp/mgmt,1,1
4817.0,4<=X<7,2.0,male single,31.0,1,skilled,1,0
2679.0,<1,4.0,female div/dep/mar,29.0,1,high qualif/self emp/mgmt,1,1
3905.0,1<=X<4,2.0,male single,36.0,2,skilled,0,1
3386.0,>=7,3.0,male single,35.0,1,skilled,1,0
343.0,<1,4.0,female div/dep/mar,27.0,1,skilled,0,1
4594.0,<1,3.0,male single,32.0,1,skilled,1,1
3620.0,1<=X<4,1.0,male single,37.0,1,skilled,0,1
1721.0,<1,2.0,male single,36.0,1,skilled,0,1
3017.0,<1,3.0,female div/dep/mar,34.0,1,high qualif/self emp/mgmt,0,1
754.0,>=7,4.0,male single,38.0,2,skilled,0,1
1950.0,4<=X<7,4.0,male single,34.0,2,skilled,1,1
2924.0,1<=X<4,3.0,male single,63.0,1,skilled,1,1
1659.0,<1,4.0,female div/dep/mar,29.0,1,unskilled resident,1,0
7238.0,>=7,3.0,male single,32.0,2,skilled,0,1
2764.0,1<=X<4,2.0,female div/dep/mar,26.0,2,skilled,1,1
4679.0,4<=X<7,3.0,male single,35.0,2,unskilled resident,1,1
3092.0,<1,3.0,male mar/wid,22.0,1,skilled,1,0
448.0,<1,4.0,female div/dep/mar,23.0,1,skilled,0,0
654.0,1<=X<4,4.0,male single,28.0,1,unskilled resident,0,0
1238.0,unemployed,4.0,male single,36.0,1,high qualif/self emp/mgmt,1,1
1245.0,1<=X<4,4.0,male mar/wid,33.0,1,skilled,0,0
3114.0,<1,1.0,female div/dep/mar,26.0,1,skilled,0,0
2569.0,1<=X<4,4.0,male single,24.0,1,skilled,0,1
5152.0,4<=X<7,4.0,male single,25.0,1,skilled,0,1
1037.0,4<=X<7,3.0,male single,39.0,1,unskilled resident,0,1
1478.0,>=7,4.0,male single,44.0,2,skilled,1,1
3573.0,1<=X<4,1.0,female div/dep/mar,23.0,1,unskilled resident,0,1
1201.0,<1,4.0,male single,26.0,1,skilled,0,1
3622.0,>=7,4.0,female div/dep/mar,57.0,2,skilled,1,1
960.0,4<=X<7,3.0,female div/dep/mar,30.0,2,skilled,0,1
1163.0,1<=X<4,4.0,male single,44.0,1,skilled,1,1
1209.0,unemployed,4.0,male single,47.0,1,high qualif/self emp/mgmt,1,0
3077.0,1<=X<4,2.0,male single,52.0,1,skilled,1,1
3757.0,>=7,4.0,female div/dep/mar,62.0,1,skilled,1,1
1418.0,1<=X<4,3.0,male single,35.0,1,unskilled resident,0,1
3518.0,1<=X<4,2.0,male single,26.0,1,skilled,0,1
1934.0,>=7,2.0,male single,26.0,2,skilled,0,1
8318.0,>=7,2.0,female div/dep/mar,42.0,2,high qualif/self emp/mgmt,1,0
1237.0,1<=X<4,1.0,female div/dep/mar,27.0,2,skilled,0,1
368.0,>=7,4.0,male single,38.0,1,skilled,0,1
2122.0,1<=X<4,3.0,male single,39.0,2,unskilled resident,0,1
2996.0,1<=X<4,2.0,male mar/wid,20.0,1,skilled,0,0
9034.0,<1,4.0,male single,29.0,1,high qualif/self emp/mgmt,1,0
1585.0,4<=X<7,4.0,male single,40.0,2,skilled,0,1
1301.0,>=7,4.0,male mar/wid,32.0,1,unskilled resident,0,1
1323.0,>=7,2.0,male div/sep,28.0,2,skilled,1,1
3123.0,<1,4.0,female div/dep/mar,27.0,1,skilled,0,0
5493.0,>=7,2.0,male single,42.0,1,skilled,0,1
1126.0,>=7,2.0,male div/sep,49.0,1,skilled,0,1
1216.0,<1,4.0,male single,38.0,2,skilled,0,0
1207.0,<1,4.0,female div/dep/mar,24.0,1,skilled,0,0
1309.0,1<=X<4,4.0,male single,27.0,1,unskilled resident,0,0
2360.0,1<=X<4,2.0,male single,36.0,1,skilled,1,1
6850.0,unemployed,1.0,male single,34.0,1,high qualif/self emp/mgmt,1,0
1413.0,1<=X<4,4.0,male mar/wid,28.0,1,skilled,0,1
8588.0,>=7,4.0,male single,45.0,1,high qualif/self emp/mgmt,1,1
759.0,4<=X<7,4.0,male single,26.0,1,skilled,0,0
4686.0,1<=X<4,2.0,male single,32.0,1,high qualif/self emp/mgmt,1,1
2687.0,4<=X<7,2.0,male single,26.0,1,skilled,1,1
585.0,1<=X<4,4.0,male mar/wid,20.0,2,skilled,0,1
2255.0,<1,4.0,male single,54.0,1,skilled,0,1
609.0,4<=X<7,4.0,female div/dep/mar,37.0,2,skilled,0,1
1361.0,<1,2.0,male single,40.0,1,unskilled resident,0,1
7127.0,<1,2.0,female div/dep/mar,23.0,2,skilled,1,0
1203.0,>=7,3.0,male single,43.0,1,skilled,1,1
700.0,>=7,4.0,male single,36.0,2,skilled,0,1
5507.0,>=7,3.0,male single,44.0,2,skilled,0,1
3190.0,1<=X<4,2.0,female div/dep/mar,24.0,1,skilled,0,0
7119.0,1<=X<4,3.0,male single,53.0,2,skilled,0,0
3488.0,4<=X<7,3.0,female div/dep/mar,23.0,1,skilled,0,1
1113.0,1<=X<4,4.0,female div/dep/mar,26.0,1,unskilled resident,0,1
7966.0,<1,2.0,male single,30.0,2,skilled,0,1
1532.0,1<=X<4,4.0,female div/dep/mar,31.0,1,skilled,0,1
1503.0,4<=X<7,2.0,male single,42.0,2,unskilled resident,0,1
2302.0,1<=X<4,4.0,male div/sep,31.0,1,skilled,0,0
662.0,<1,3.0,male single,41.0,1,unskilled resident,1,1
2273.0,4<=X<7,3.0,male single,32.0,2,skilled,0,1
2631.0,1<=X<4,2.0,female div/dep/mar,28.0,2,skilled,1,0
1503.0,1<=X<4,4.0,male mar/wid,41.0,1,skilled,0,1
1311.0,4<=X<7,4.0,male mar/wid,26.0,1,skilled,1,1
3105.0,<1,4.0,male single,25.0,2,skilled,0,1
2319.0,<1,2.0,male div/sep,33.0,1,skilled,0,0
1374.0,unemployed,4.0,female div/dep/mar,75.0,1,high qualif/self emp/mgmt,1,1
3612.0,>=7,3.0,female div/dep/mar,37.0,1,skilled,1,1
7763.0,>=7,4.0,male single,42.0,1,high qualif/self emp/mgmt,0,0
3049.0,<1,1.0,female div/dep/mar,45.0,1,unskilled resident,0,1
1534.0,<1,1.0,male mar/wid,23.0,1,skilled,0,0
2032.0,>=7,4.0,male single,60.0,2,skilled,1,1
6350.0,>=7,4.0,male single,31.0,1,skilled,0,0
2864.0,1<=X<4,2.0,male single,34.0,1,unskilled resident,0,0
1255.0,>=7,4.0,male single,61.0,2,unskilled resident,0,1
1333.0,unemployed,4.0,male single,43.0,2,skilled,0,0
2022.0,1<=X<4,4.0,female div/dep/mar,37.0,1,skilled,1,1
1552.0,4<=X<7,3.0,male single,32.0,1,skilled,0,1
626.0,1<=X<4,4.0,female div/dep/mar,24.0,1,unskilled resident,0,0
8858.0,4<=X<7,2.0,male single,35.0,2,skilled,1,1
996.0,4<=X<7,4.0,female div/dep/mar,23.0,2,skilled,0,1
1750.0,>=7,2.0,male single,45.0,1,unskilled resident,0,1
6999.0,4<=X<7,1.0,male mar/wid,34.0,2,skilled,1,0
1995.0,<1,4.0,male single,27.0,1,skilled,0,1
1199.0,4<=X<7,4.0,female div/dep/mar,67.0,2,high qualif/self emp/mgmt,1,1
1331.0,<1,2.0,male single,22.0,1,skilled,0,0
2278.0,<1,3.0,female div/dep/mar,28.0,2,skilled,0,0
5003.0,1<=X<4,1.0,female div/dep/mar,29.0,2,skilled,1,0
3552.0,4<=X<7,3.0,male single,27.0,1,skilled,0,0
1928.0,<1,2.0,male single,31.0,2,unskilled resident,0,0
2964.0,>=7,4.0,male single,49.0,1,skilled,1,1
1546.0,4<=X<7,4.0,male single,24.0,1,unskilled resident,0,0
683.0,<1,2.0,female div/dep/mar,29.0,1,skilled,0,1
12389.0,1<=X<4,1.0,male single,37.0,1,skilled,1,0
4712.0,1<=X<4,4.0,male single,37.0,2,high qualif/self emp/mgmt,1,1
1553.0,4<=X<7,3.0,female div/dep/mar,23.0,2,skilled,1,1
1372.0,4<=X<7,2.0,male div/sep,36.0,1,skilled,0,0
2578.0,>=7,2.0,male single,34.0,1,skilled,0,1
3979.0,4<=X<7,4.0,male single,41.0,2,skilled,1,1
6758.0,1<=X<4,3.0,female div/dep/mar,31.0,1,skilled,1,0
3234.0,<1,4.0,female div/dep/mar,23.0,1,unskilled resident,1,0
5954.0,4<=X<7,3.0,male single,38.0,1,skilled,0,1
5433.0,unemployed,2.0,female div/dep/mar,26.0,1,high qualif/self emp/mgmt,1,1
806.0,1<=X<4,4.0,female div/dep/mar,22.0,1,unskilled resident,0,1
1082.0,>=7,4.0,male single,27.0,2,unskilled resident,0,1
2788.0,4<=X<7,2.0,female div/dep/mar,24.0,2,skilled,0,1
2930.0,4<=X<7,2.0,female div/dep/mar,27.0,1,skilled,0,1
1927.0,1<=X<4,3.0,female div/dep/mar,33.0,2,skilled,1,1
2820.0,<1,4.0,male div/sep,27.0,2,skilled,0,0
937.0,<1,4.0,male mar/wid,27.0,2,unskilled resident,0,1
1056.0,>=7,3.0,male single,30.0,2,skilled,0,0
3124.0,<1,1.0,male single,49.0,2,unskilled resident,0,1
1388.0,1<=X<4,4.0,female div/dep/mar,26.0,1,skilled,0,1
2384.0,<1,4.0,male single,33.0,1,unskilled resident,0,0
2133.0,>=7,4.0,female div/dep/mar,52.0,1,high qualif/self emp/mgmt,1,1
2039.0,1<=X<4,1.0,female div/dep/mar,20.0,1,skilled,0,0
2799.0,1<=X<4,2.0,male single,36.0,2,skilled,0,1
1289.0,1<=X<4,4.0,male single,21.0,1,unskilled resident,0,1
1217.0,1<=X<4,4.0,male mar/wid,47.0,1,unskilled resident,1,0
2246.0,>=7,3.0,male single,60.0,2,skilled,0,0
385.0,4<=X<7,4.0,female div/dep/mar,58.0,4,unskilled resident,1,1
1965.0,1<=X<4,4.0,female div/dep/mar,42.0,2,skilled,1,1
1572.0,>=7,4.0,female div/dep/mar,36.0,1,unskilled resident,0,1
2718.0,1<=X<4,3.0,female div/dep/mar,20.0,1,unskilled resident,1,0
1358.0,>=7,4.0,male single,40.0,1,high qualif/self emp/mgmt,1,0
931.0,<1,1.0,female div/dep/mar,32.0,1,unskilled resident,0,0
1442.0,4<=X<7,4.0,female div/dep/mar,23.0,2,skilled,0,0
4241.0,1<=X<4,1.0,male single,36.0,3,unskilled resident,1,0
2775.0,4<=X<7,2.0,male single,31.0,2,skilled,0,0
3863.0,1<=X<4,1.0,male single,32.0,1,skilled,0,1
2329.0,<1,1.0,female div/dep/mar,45.0,1,skilled,0,1
918.0,1<=X<4,4.0,female div/dep/mar,30.0,1,skilled,0,0
1837.0,4<=X<7,4.0,female div/dep/mar,34.0,1,unskilled resident,0,0
3349.0,1<=X<4,4.0,female div/dep/mar,28.0,1,high qualif/self emp/mgmt,1,0
1275.0,<1,4.0,female div/dep/mar,23.0,1,skilled,0,1
2828.0,1<=X<4,4.0,male single,22.0,1,skilled,1,1
4526.0,1<=X<4,3.0,male single,74.0,1,high qualif/self emp/mgmt,1,1
2671.0,1<=X<4,4.0,female div/dep/mar,50.0,1,skilled,0,0
2051.0,<1,4.0,male single,33.0,1,skilled,0,1
1300.0,>=7,4.0,male single,45.0,1,skilled,0,1
741.0,unemployed,4.0,female div/dep/mar,22.0,1,skilled,0,0
1240.0,>=7,1.0,female div/dep/mar,48.0,1,unskilled resident,0,0
3357.0,<1,4.0,female div/dep/mar,29.0,1,skilled,0,1
3632.0,1<=X<4,1.0,female div/dep/mar,22.0,1,skilled,0,1
1808.0,4<=X<7,4.0,female div/dep/mar,22.0,1,skilled,0,0
12204.0,1<=X<4,2.0,male single,48.0,1,high qualif/self emp/mgmt,1,1
9157.0,1<=X<4,2.0,male single,27.0,1,high qualif/self emp/mgmt,0,1
3676.0,1<=X<4,1.0,male single,37.0,3,skilled,0,1
3441.0,1<=X<4,2.0,female div/dep/mar,21.0,1,skilled,0,0
640.0,1<=X<4,4.0,male div/sep,49.0,1,unskilled resident,0,1
3652.0,4<=X<7,2.0,male single,27.0,2,skilled,0,1
1530.0,1<=X<4,3.0,male single,32.0,2,skilled,0,0
3914.0,1<=X<4,4.0,male div/sep,38.0,1,skilled,0,0
1858.0,<1,4.0,female div/dep/mar,22.0,1,skilled,0,1
2600.0,1<=X<4,4.0,male single,65.0,2,skilled,0,0
1979.0,>=7,4.0,male single,35.0,1,skilled,0,1
2116.0,1<=X<4,2.0,male single,41.0,1,skilled,1,1
1437.0,4<=X<7,2.0,male single,29.0,1,skilled,0,0
4042.0,1<=X<4,4.0,male single,36.0,2,skilled,1,1
3832.0,>=7,1.0,male single,64.0,1,unskilled resident,0,1
3660.0,1<=X<4,2.0,female div/dep/mar,28.0,1,skilled,0,1
1553.0,1<=X<4,4.0,male single,44.0,1,skilled,0,0
1444.0,<1,4.0,male single,23.0,1,skilled,0,1
1980.0,<1,2.0,female div/dep/mar,19.0,2,skilled,0,0
1355.0,<1,3.0,female div/dep/mar,25.0,1,unskilled resident,1,0
1393.0,>=7,4.0,male single,47.0,3,skilled,1,1
1376.0,4<=X<7,4.0,female div/dep/mar,28.0,1,skilled,0,1
15653.0,4<=X<7,2.0,male single,21.0,2,skilled,1,1
1493.0,<1,4.0,female div/dep/mar,34.0,1,skilled,0,1
4370.0,4<=X<7,3.0,male single,26.0,2,skilled,1,0
750.0,unemployed,4.0,female div/dep/mar,27.0,1,unemp/unskilled non res,0,0
1308.0,>=7,4.0,male single,38.0,2,unskilled resident,0,1
4623.0,1<=X<4,3.0,male single,40.0,1,high qualif/self emp/mgmt,1,0
1851.0,4<=X<7,4.0,male mar/wid,33.0,2,skilled,1,1
1880.0,4<=X<7,4.0,male mar/wid,32.0,2,high qualif/self emp/mgmt,1,1
7980.0,<1,4.0,male single,27.0,2,skilled,1,0
4583.0,1<=X<4,2.0,male div/sep,32.0,2,skilled,0,1
1386.0,1<=X<4,2.0,female div/dep/mar,26.0,1,skilled,0,0
947.0,4<=X<7,4.0,male single,38.0,1,skilled,0,0
684.0,1<=X<4,4.0,male single,40.0,1,unskilled resident,0,0
7476.0,4<=X<7,4.0,male single,50.0,1,high qualif/self emp/mgmt,1,1
1922.0,1<=X<4,4.0,male single,37.0,1,unskilled resident,0,0
2303.0,>=7,4.0,male single,45.0,1,skilled,0,0
8086.0,>=7,2.0,male single,42.0,4,high qualif/self emp/mgmt,1,0
2346.0,4<=X<7,4.0,male single,35.0,2,skilled,1,1
3973.0,unemployed,1.0,male single,22.0,1,skilled,0,1
888.0,>=7,4.0,male single,41.0,1,unskilled resident,0,0
10222.0,4<=X<7,4.0,male single,37.0,1,skilled,1,1
4221.0,1<=X<4,2.0,female div/dep/mar,28.0,2,skilled,0,1
6361.0,>=7,2.0,male single,41.0,1,skilled,1,1
1297.0,1<=X<4,3.0,male mar/wid,23.0,1,skilled,0,1
900.0,1<=X<4,4.0,male mar/wid,23.0,1,skilled,0,0
2241.0,>=7,4.0,male single,50.0,2,skilled,0,1
1050.0,unemployed,4.0,male single,35.0,2,high qualif/self emp/mgmt,1,1
